"bs","pz_amor","vl_recuperacao","EAD","lgd","COD_OR_REC","COD_tp_garantia","tempo_sobrev1","tempo_sobrev2"
4,240,21385.29,25491.57,0.1610838407,1,2,87,10
0,120,343331.99,192321.8,1,1,2,63,35
24.98,180,21605.92,28191.81,0,1,2,50,18
24.98,180,36021.55,43269.09,0.1674992472,1,2,79,3
89,120,18123.06,18030.54,0,1,2,61,1
89,180,13709.39,14059.93,0,4,2,48,1
24.98,180,98923.4,99731.88,0,1,2,48,22
24.98,180,44791.78,114491.37,0.6087759278,1,2,71,23
24.98,180,43218.64,38984.61,0,1,2,37,6
1,240,0,120204.43,0.7886404867,1,2,54,6
24.98,180,1362.85,33953.6,0.6014515841,1,2,35,39
1,180,40332.4,38952.29,0,1,2,89,1
24.98,204,28508.02,28091.88,0,4,3,31,15
30,204,11607.73,14227.26,0,4,3,64,23
4,204,0,59436.8,1,1,2,73,2
24.98,204,18853.79,17770.64,0,4,3,29,6
93,204,12200.93,12130.91,0,4,3,31,2
0,180,33939.48,31721.16,0,1,2,43,5
2,180,0,27169.46,1,1,2,77,1
2,180,0,50604.06,0.6020196272,1,2,70,25
2,204,0,9622.12,1,4,3,82,14
24.98,239,29648.12,27543.71,0,4,2,43,7
7,180,0,65230.02,1,1,2,86,6
24.98,180,53842.07,58365.72,0.7919810121,1,2,32,34
24.98,180,35739.74,24502.22,0,1,2,37,21
95,204,3325.58,12928.76,0.7652984958,4,3,29,59
96,204,13792.63,17551.05,0.7782780943,4,3,29,41
24.98,120,13919.23,31503.8,0,2,2,58,17
0,180,0,68903.73,0.5558327506,1,2,42,4
24.98,180,27894.17,34808.74,0,1,2,42,10
8,204,87687.99,89377.4,0,4,3,30,1
24.98,204,80973.41,74569.24,0,4,3,53,8
94,204,70232.9,67427.05,0,4,3,30,21
24.98,84,31666.67,46228.06,0.0266715127,2,2,40,6
24.98,123,14308.94,22691.75,0,1,2,72,8
89,120,14491.67,23159.08,0,1,2,60,13
94,180,21305.17,20322.74,0,1,2,60,5
1,180,0,82375.07,0.6148676319,1,2,61,18
24.98,239,45417.79,49525.94,0,4,2,55,19
17,204,0,42496.65,1,4,3,88,1
24.98,180,48228.59,46292.5,0,1,2,37,3
2,180,38411.07,38207.55,0,1,2,64,1
26,180,13120.91,17312.39,0.4334927551,1,2,54,45
24.98,180,36907.02,29079.2,0,1,2,44,14
2,120,0,63720.64,1,1,2,79,5
44,239,23801.37,24236.66,0.0179599829,1,2,93,3
96,180,13528.55,17123.17,0,1,2,50,19
62,180,0,91659.59,1,1,2,90,4
4,180,0,52266.11,0.6720574728,1,2,70,3
1,180,66310.72,57128.45,0.7553212111,1,2,55,34
24.98,180,28245.28,31143.4,0,1,2,59,6
24.98,180,30527.16,29415.02,0,1,2,63,5
24.98,180,32982.9,36844.52,0,1,2,32,21
24.98,204,63794.09,67931.23,0,4,3,48,6
2,180,25138.62,26122.33,0,1,2,39,3
24.98,240,12974.85,10823.36,0,4,2,63,14
56,240,76387.85,69269.73,0,4,2,42,14
24.98,204,41875.08,42483.86,0,1,2,58,19
70,204,62641.77,62885.19,0,4,3,37,3
24.98,204,2111.3,22151.44,0,4,3,57,17
24.98,60,29641.88,18026.07,0,1,2,37,18
24.98,204,51272.71,60881,0.7170922556,4,3,35,36
24.98,180,28921.86,26021.2,0,1,2,36,19
2,180,0,261185.5,0.6296145583,1,2,36,20
24.98,180,36213.02,38849.46,0.0072196129,1,2,34,3
24.98,180,32677.89,40810.88,0.5220464306,1,2,46,35
17,240,53659.44,46073.05,0,1,2,38,10
7,180,0,24248,0.6110560493,1,2,35,4
24.98,180,33734.97,37068.53,0,1,2,41,19
39,239,10683.85,40630.6,0.7315670274,4,2,46,38
24.98,239,61229.28,71575.79,0,4,2,43,17
24.98,72,0,5797.61,0.1541743903,1,2,56,5
3,180,21487.61,20392.48,0,1,2,54,6
24.98,193,44881.92,41191.79,0.4670686668,1,2,49,30
24.98,240,53313.19,62609.85,0,1,2,51,5
24.98,60,2559.53,8901.21,0,1,2,35,21
24.98,204,61300.76,79777.4,0.1126681439,4,3,39,11
2,180,0,57433.9,1,1,2,74,5
24.98,240,55626.86,67345.82,0,4,2,62,12
24.98,180,158641.11,138789.64,1,1,2,43,39
4,180,0,124113.52,1,1,2,93,6
4,204,49084.02,53662.43,0,4,3,54,1
94,204,40841.63,45710.15,0,4,3,47,13
24.98,180,25341.77,24326.28,0,4,2,53,4
1,180,0,199020.46,1,1,2,79,5
24.98,180,16200.53,17655.23,0.0823948484,1,2,75,0
56,240,75139.09,80083.89,0,1,2,46,3
24.98,120,18514.19,22009.1,0.0028272277,1,2,61,3
89,180,11096.91,41644.41,0.5915630694,1,2,58,31
45,60,5912.21,5296.1,0,1,2,49,7
0,180,51850.49,51102,0,1,2,37,3
24.98,240,40897.55,48152.19,0,4,2,30,24
90,240,22466.17,28524.92,0.694132651,4,2,58,30
24.98,180,14426.65,17618.25,0,1,2,52,20
24.98,120,22600.76,28192.61,0.1983445307,1,2,55,2
24.98,240,28449.46,26504.16,0,4,2,30,8
